,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
12870,1600000US3706240,region.place,2013,35313,28571,40438,34688,30250,31848,63235,19828,20938,41818,0.7,13.9,2.1,25.7,25.5,15.7,3.0,9.8,3.6,Bladenboro,NC
12877,1600000US3705460,region.place,2013,27833,20455,31250,24261,22825,41071,45357,19875,13958,18750,6.7,23.8,3.1,30.6,19.2,2.6,2.1,4.9,7.0,Bethel,NC
12880,1600000US3727870,region.place,2013,22422,12896,28516,17393,14972,19583,0,21098,9000,21667,22.4,24.6,4.8,17.8,16.7,7.3,0.9,1.5,4.0,Green Level,NC
12882,1600000US3752020,region.place,2013,30469,25673,37895,24559,25260,42014,52500,24375,9837,30769,5.3,25.0,0.0,20.4,26.2,15.0,1.1,4.4,2.6,Pine Level,NC
12883,1600000US3744280,region.place,2013,24416,23822,34596,29600,26480,0,0,34191,16182,26908,0.0,42.1,0.0,16.9,29.4,8.5,0.0,3.1,0.0,Moravian Falls,NC
12885,1600000US3720980,region.place,2013,34792,24219,41359,21635,22700,44107,42188,29063,13125,23194,2.3,15.8,3.5,25.6,24.6,19.6,4.2,2.1,2.3,Elm City,NC
12893,1600000US3757860,region.place,2013,20682,13438,33920,16731,14958,0,47917,21364,19671,20938,6.8,33.2,5.3,22.3,23.7,4.5,2.7,1.5,0.0,Rose Hill,NC
12894,1600000US3741060,region.place,2013,30096,17708,35667,25500,20401,26111,59500,22212,0,25481,9.1,16.2,2.9,26.1,16.2,9.0,5.1,4.4,11.0,Manteo,NC
12897,1600000US3703640,region.place,2013,40341,16094,26146,18500,17682,0,0,17951,9167,30682,5.8,34.3,0.0,13.3,31.6,13.0,2.0,0.0,0.0,Barker Heights,NC
12900,1600000US3717340,region.place,2013,32321,15323,34688,21080,17072,28125,56429,15982,22000,32500,0.9,24.8,7.1,19.3,17.8,13.5,3.4,8.9,4.3,Dobson,NC
12902,1600000US3719860,region.place,2013,21250,9297,32125,17468,14293,41563,47708,16786,7375,17188,8.3,29.8,4.8,19.6,28.0,7.7,0.0,1.8,0.0,East Spencer,NC
12909,1600000US3757100,region.place,2013,26125,20104,29902,22639,21797,32222,17083,22000,13355,35139,1.3,30.1,1.3,33.2,16.4,7.3,3.1,4.7,2.6,Robersonville,NC
12927,1600000US3736500,region.place,2013,25000,13875,47330,26146,16154,30694,34250,11316,20625,18021,14.8,13.1,1.3,16.5,13.5,19.8,0.8,9.7,10.5,Lake Lure,NC
12930,1600000US3763360,region.place,2013,39400,29792,34597,29135,29548,36938,0,40035,0,29574,0.0,9.9,9.7,27.6,19.4,18.7,3.4,0.0,11.3,Southmont,NC
12933,1600000US3748920,region.place,2013,28125,24792,42500,11613,14155,38750,60455,24167,16818,7308,7.1,17.4,1.1,10.3,33.8,21.0,2.5,6.8,0.0,Old Fort,NC
12936,1600000US3722560,region.place,2013,25347,10648,30969,27143,16471,50263,47917,12457,13750,25776,20.2,21.0,1.1,23.7,21.6,5.9,3.0,0.8,2.7,Faison,NC
12939,1600000US3724900,region.place,2013,25729,19028,50909,29500,20804,54688,91250,23750,23333,20600,18.7,16.1,1.1,24.5,4.4,17.9,3.7,5.9,7.7,Fremont,NC
12943,1600000US3713280,region.place,2013,32581,21438,42868,24565,23641,24432,67813,26295,45625,33462,6.0,20.4,2.0,25.2,17.0,12.2,1.0,13.2,3.0,Clyde,NC
12946,1600000US3724740,region.place,2013,25278,17197,32326,25455,21136,32083,0,22337,17083,24583,1.2,28.0,0.0,38.9,23.7,1.2,3.9,0.0,3.1,Franklinville,NC
12947,1600000US3742000,region.place,2013,25789,18750,28558,25875,21808,0,0,11818,20156,25590,0.0,22.3,8.8,47.8,4.0,17.1,0.0,0.0,0.0,Maury,NC
12949,1600000US3732180,region.place,2013,24375,20516,41442,35813,23488,39583,36429,18250,16000,33309,6.6,33.0,1.0,9.5,19.6,13.4,4.7,9.1,3.1,Holly Ridge,NC
12950,1600000US3725540,region.place,2013,28843,27894,31607,27656,27863,29063,71667,26927,8021,29321,8.2,11.2,0.0,62.9,9.5,1.7,1.3,3.0,2.2,Garysburg,NC
12951,1600000US3725560,region.place,2013,29821,20625,28750,22050,21738,31071,27500,17898,21625,28750,4.5,33.3,0.0,33.0,9.4,12.7,1.5,2.6,3.0,Gaston,NC
12958,1600000US3724380,region.place,2013,33143,18047,62798,24125,19849,21667,45625,32000,11581,18210,12.5,20.7,2.5,12.7,19.0,8.8,13.0,3.7,7.1,Foscoe,NC
12962,1600000US3756440,region.place,2013,26250,17222,31474,18750,17368,16583,50625,19375,9167,30242,6.7,27.8,3.1,29.9,17.5,12.9,0.0,0.0,2.1,Rich Square,NC
12963,1600000US3733820,region.place,2013,32606,26356,75694,37306,33099,0,0,16250,0,35352,0.0,20.5,0.0,34.5,7.3,15.2,0.0,16.4,6.1,Iron Station,NC
12966,1600000US3717520,region.place,2013,31635,22266,54306,41042,31385,38036,62500,32143,6000,40781,1.4,11.9,0.6,26.1,20.3,10.4,5.8,9.0,14.5,Dortches,NC
12972,1600000US3761920,region.place,2013,22281,20469,33372,28929,21344,0,0,32780,0,21594,6.2,17.7,8.4,48.7,0.0,14.6,0.0,0.0,4.4,Silver City,NC
12977,1600000US3715040,region.place,2013,32672,22813,39282,35417,29360,38750,28088,31029,0,9231,4.5,17.3,0.0,30.2,25.1,11.2,1.5,5.0,5.2,Cove Creek,NC
12978,1600000US3766980,region.place,2013,28911,17277,41150,21875,20665,29423,0,24375,13250,22455,10.6,22.3,0.0,26.1,18.2,13.3,4.2,1.5,3.8,Taylortown,NC
12982,1600000US3713940,region.place,2013,41964,13452,31319,27500,20577,17232,48250,20573,16786,31328,2.6,23.5,0.0,32.7,22.4,17.3,0.0,1.5,0.0,Columbia,NC
12984,1600000US3722240,region.place,2013,20294,21103,38333,26667,25257,38611,44712,35250,12917,16719,26.9,18.8,2.7,9.7,26.3,10.8,4.3,0.5,0.0,Fair Bluff,NC
12985,1600000US3735340,region.place,2013,20500,10000,21818,14961,14494,0,0,0,12969,12750,39.3,20.1,0.0,24.5,10.1,0.0,6.0,0.0,0.0,Keener,NC
12986,1600000US3766460,region.place,2013,34808,28417,44000,37235,33558,42500,44886,36019,14583,37500,0.8,13.9,0.8,20.3,28.9,15.8,7.2,3.1,9.2,Swepsonville,NC
12987,1600000US3740460,region.place,2013,28750,13864,43935,34844,24904,33828,0,16591,0,52188,4.8,19.3,0.0,17.3,28.1,24.9,5.6,0.0,0.0,McLeansville,NC
12992,1600000US3727780,region.place,2013,27500,21411,39050,32321,22303,37950,0,36875,14000,23750,2.3,31.2,1.4,13.1,26.2,2.7,3.6,19.5,0.0,Greenevers,NC
13000,1600000US3763240,region.place,2013,27250,21741,35875,16351,18750,0,0,20846,26607,30984,1.4,42.8,0.0,37.7,18.1,0.0,0.0,0.0,0.0,South Henderson,NC
13003,1600000US3756240,region.place,2013,24375,12500,32404,28750,18092,0,0,28833,12500,17292,5.3,21.3,11.2,20.2,28.7,11.2,0.0,2.1,0.0,Rhodhiss,NC
13005,1600000US3742700,region.place,2013,32153,19500,33500,20288,20076,4926,45469,17969,13967,32692,2.7,26.0,0.0,30.9,22.9,9.0,2.2,6.3,0.0,Middlesex,NC
13008,1600000US3722600,region.place,2013,35625,27212,56667,49076,35441,48565,49083,26538,63750,35769,0.0,14.4,0.0,12.9,25.8,17.7,18.2,6.2,4.8,Faith,NC
13013,1600000US3701000,region.place,2013,41250,25250,42639,30250,25588,44271,34688,27083,22083,35769,0.0,19.0,3.0,15.0,30.0,22.0,5.5,5.5,0.0,Alliance,NC
13016,1600000US3708880,region.place,2013,27604,11081,53324,49464,20000,29028,0,52952,60511,18702,14.6,12.2,4.4,16.7,10.5,31.0,1.4,2.4,6.8,Bunnlevel,NC
13019,1600000US3770480,region.place,2013,33199,30313,51000,29444,29773,30500,55625,21797,27639,33897,5.4,22.0,1.3,24.7,17.5,18.8,4.0,2.7,3.6,Wagram,NC
13024,1600000US3735440,region.place,2013,22349,21762,43646,43646,27539,0,0,0,0,21657,0.0,41.2,0.0,20.2,20.6,0.0,0.0,5.3,12.7,Kelly,NC
13029,1600000US3757740,region.place,2013,32045,20500,26667,13958,16563,0,0,13958,25375,25313,8.1,8.1,0.0,45.9,13.5,12.2,0.0,1.4,10.8,Roper,NC
13030,1600000US3757020,region.place,2013,35250,22639,43229,32500,30461,36750,43800,25714,22045,39750,13.3,15.6,0.0,11.5,45.0,5.0,1.8,3.7,4.1,Robbinsville,NC
13033,1600000US3752920,region.place,2013,16159,16159,17071,7188,13631,0,0,16893,6403,17390,11.9,55.9,7.3,8.5,16.4,0.0,0.0,0.0,0.0,Pleasant Hill,NC
13034,1600000US3740860,region.place,2013,31875,28362,31957,17784,18920,31115,0,18182,0,30076,0.0,0.0,0.0,74.5,4.7,15.1,0.0,5.7,0.0,Mamers,NC
13036,1600000US3763560,region.place,2013,39242,10644,33795,28839,14706,0,0,26583,0,27946,0.0,0.0,0.0,42.9,43.6,0.0,0.0,13.5,0.0,South Weldon,NC
13039,1600000US3738030,region.place,2013,30677,25956,21146,16000,21979,34250,0,30885,14712,15658,25.7,19.2,0.0,30.4,9.3,12.6,0.0,1.4,1.4,Lewiston Woodville,NC
13041,1600000US3758920,region.place,2013,29444,21250,48750,25556,23750,26875,36705,28750,0,14907,19.9,11.3,3.2,13.4,21.0,7.0,3.2,17.2,3.8,Saluda,NC
13043,1600000US3706860,region.place,2013,26094,19338,34531,34375,24911,41458,0,21429,18750,29500,3.5,27.9,5.2,23.8,11.0,19.8,4.1,4.7,0.0,Bolton,NC
13048,1600000US3725880,region.place,2013,40750,31366,31964,27868,29596,31750,0,29228,0,31063,0.0,14.9,0.0,35.6,32.5,8.5,8.5,0.0,0.0,Germanton,NC
13049,1600000US3701420,region.place,2013,26736,17262,32317,31707,25096,43056,0,17344,25469,30720,3.7,19.6,0.0,40.7,34.9,0.0,1.1,0.0,0.0,Ansonville,NC
13052,1600000US3758020,region.place,2013,14250,8056,29107,13205,11000,0,0,11964,14375,22875,16.3,32.6,4.3,10.9,28.3,0.0,0.0,0.0,7.6,Rosman,NC
13053,1600000US3744100,region.place,2013,18393,3962,44375,5139,4347,21111,41875,0,0,15795,0.0,16.9,16.9,7.7,18.5,20.0,0.0,16.9,3.1,Montreat,NC
13054,1600000US3725460,region.place,2013,21635,18810,37656,14375,17679,26250,108125,12159,14833,22212,9.2,40.0,0.0,12.5,25.8,6.7,0.0,2.5,3.3,Garland,NC
13056,1600000US3755460,region.place,2013,33839,27500,46071,36641,33350,45833,0,32031,16250,37891,0.8,19.3,0.0,14.4,30.9,12.8,3.7,12.3,5.8,Red Cross,NC
13064,1600000US3734000,region.place,2013,22162,21250,43404,42527,30357,27375,42917,42642,9063,22128,6.0,26.2,0.0,6.5,49.2,10.1,0.8,0.0,1.2,Jackson,NC
13065,1600000US3703020,region.place,2013,26667,20500,41964,32188,25208,43125,0,23750,30104,27396,3.9,21.5,1.0,26.3,22.9,17.6,0.0,3.9,2.9,Bailey,NC
13066,1600000US3769795,region.place,2013,35208,21471,34911,22708,21761,67917,19688,31875,9423,24375,4.3,17.1,7.9,20.7,15.2,18.9,7.3,4.9,3.7,Varnamtown,NC
13067,1600000US3710980,region.place,2013,26731,24063,46964,41667,30435,52647,85250,31875,22159,32083,1.1,23.0,0.0,24.6,17.1,23.5,1.6,7.0,2.1,Catawba,NC
13068,1600000US3748740,region.place,2013,0,21534,40250,36518,35634,0,0,40732,0,21506,0.0,0.0,0.0,0.0,88.8,11.2,0.0,0.0,0.0,Ocracoke,NC
13072,1600000US3732840,region.place,2013,31458,11080,30804,28472,17857,13295,0,28889,9141,26528,4.0,2.0,0.0,62.0,24.0,1.0,7.0,0.0,0.0,Hot Springs,NC
13077,1600000US3708420,region.place,2013,25625,19375,26875,12500,18828,40250,0,14327,11250,26083,2.5,25.9,6.2,37.0,25.9,2.5,0.0,0.0,0.0,Brunswick,NC
13079,1600000US3729640,region.place,2013,26058,19333,34886,29625,23984,40781,19375,28833,7361,29464,0.0,23.3,6.4,32.0,17.4,8.7,5.8,2.9,3.5,Harmony,NC
13080,1600000US3730800,region.place,2013,0,0,24542,23083,12500,0,0,0,22045,0,0.0,61.2,0.0,0.0,38.8,0.0,0.0,0.0,0.0,Henrietta,NC
13082,1600000US3701640,region.place,2013,26161,21167,39313,27917,21779,31375,0,33750,13438,23500,6.2,18.5,11.8,24.2,29.2,5.1,2.8,0.0,2.2,Arapahoe,NC
13083,1600000US3733640,region.place,2013,0,9788,0,9412,9576,0,0,16250,8926,0,0.0,42.4,0.0,38.4,19.2,0.0,0.0,0.0,0.0,Ingold,NC
13084,1600000US3744560,region.place,2013,23750,23103,40833,9881,17917,0,0,19479,12679,25125,13.3,38.7,8.0,20.0,20.0,0.0,0.0,0.0,0.0,Morven,NC
13085,1600000US3701560,region.place,2013,24545,22214,50515,51324,31833,59677,0,51103,0,24432,0.0,43.0,0.0,7.2,12.1,27.1,0.0,10.6,0.0,Aquadale,NC
13087,1600000US3758840,region.place,2013,30978,21429,36667,30750,26985,80625,19306,18750,14107,31168,7.4,9.3,0.6,53.1,3.7,9.9,0.6,11.1,4.3,Salemburg,NC
13090,1600000US3750340,region.place,2013,22500,16979,43542,43819,35625,26563,53750,42188,10000,37679,0.0,26.9,2.1,10.3,31.7,19.3,5.5,2.8,1.4,Parkton,NC
13095,1600000US3710960,region.place,2013,36875,30750,56635,41875,36797,35750,80625,37222,0,36250,4.8,4.8,5.5,6.2,31.5,20.5,1.4,4.1,21.2,Caswell Beach,NC
13097,1600000US3724440,region.place,2013,35781,30455,33750,24028,25694,32083,47500,11250,13594,28750,4.0,18.8,0.0,24.8,25.7,16.8,0.0,2.0,7.9,Fountain,NC
13106,1600000US3706980,region.place,2013,21500,5962,58021,4934,5227,0,0,10313,4423,23636,0.0,63.9,0.0,4.9,6.6,24.6,0.0,0.0,0.0,Bonnetsville,NC
13114,1600000US3704680,region.place,2013,34150,33300,0,30444,31089,0,0,0,0,32650,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,Bell Arthur,NC
13115,1600000US3721120,region.place,2013,22277,16950,24677,24234,20938,0,0,24960,22455,0,4.6,48.7,0.0,8.1,6.6,0.0,0.0,32.0,0.0,Elrod,NC
13119,1600000US3708140,region.place,2013,30682,20469,34000,33750,26154,31607,0,26250,16250,30938,0.0,28.4,0.0,31.9,23.3,12.9,0.9,2.6,0.0,Brookford,NC
13120,1600000US3758340,region.place,2013,38929,31033,41728,41654,40086,0,0,32404,0,40639,0.0,5.3,0.0,28.4,49.1,0.0,9.5,7.7,0.0,Ruffin,NC
13124,1600000US3710460,region.place,2013,0,0,0,29514,50943,0,0,0,0,51732,0.0,0.0,0.0,24.0,0.0,38.0,0.0,38.0,0.0,Caroleen,NC
13125,1600000US3768040,region.place,2013,32045,30966,48250,40250,31750,34500,23611,16750,0,50455,0.6,12.8,1.3,28.8,14.1,27.6,0.0,7.1,7.7,Topsail Beach,NC
13126,1600000US3762040,region.place,2013,25833,23750,52143,43750,35625,47188,83000,24792,11250,35625,16.5,13.4,0.0,7.3,20.7,23.2,4.9,6.7,7.3,Simpson,NC
13128,1600000US3759765,region.place,2013,52750,30000,70909,59444,53261,70909,0,0,0,34405,0.0,8.2,0.0,14.4,8.9,28.1,13.0,10.3,17.1,Scotch Meadows,NC
13129,1600000US3717660,region.place,2013,26125,21797,45313,36979,27024,24375,0,30750,25417,25179,3.4,20.2,0.0,34.5,16.8,17.6,2.5,5.0,0.0,Dover,NC
13137,1600000US3721380,region.place,2013,0,21512,0,46968,44833,0,0,0,0,46489,0.0,19.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,Engelhard,NC
13139,1600000US3716730,region.place,2013,31458,31458,73864,71319,63162,71181,64265,0,0,43750,0.0,0.0,0.0,22.1,0.0,26.2,23.8,0.0,27.9,Deercroft,NC
13140,1600000US3741600,region.place,2013,0,35066,0,13229,28125,0,0,0,0,14750,0.0,0.0,0.0,26.9,73.1,0.0,0.0,0.0,0.0,Marshallberg,NC
13142,1600000US3722080,region.place,2013,33317,29091,45083,42986,32788,0,0,45417,0,38750,0.0,8.2,0.0,27.6,47.8,6.7,0.0,9.7,0.0,Evergreen,NC
13146,1600000US3759090,region.place,2013,30000,21250,40000,35357,26250,44167,0,26094,31875,26667,0.0,22.3,4.5,24.1,27.7,7.1,7.1,1.8,5.4,Sandy Creek,NC
13150,1600000US3758420,region.place,2013,22778,19539,38000,31184,24327,15000,7083,29000,30179,24464,5.1,34.7,0.0,17.3,18.4,18.4,4.1,2.0,0.0,Ruth,NC
13153,1600000US3720700,region.place,2013,22813,12344,35833,25000,20875,21563,0,33295,0,23000,12.3,16.9,0.0,30.8,27.7,12.3,0.0,0.0,0.0,Elk Park,NC
13155,1600000US3742620,region.place,2013,30625,17969,30714,30000,25966,0,0,25938,0,27250,4.4,16.7,0.0,38.9,25.6,14.4,0.0,0.0,0.0,Micro,NC
13157,1600000US3714200,region.place,2013,23750,20729,31346,29318,22411,0,0,33750,12857,26944,20.2,17.3,0.0,41.3,15.4,5.8,0.0,0.0,0.0,Conetoe,NC
13160,1600000US3707220,region.place,2013,33125,18750,31250,27750,24063,34167,39464,18125,26250,27917,4.9,25.5,2.0,25.5,22.5,9.8,7.8,2.0,0.0,Bostic,NC
13162,1600000US3770860,region.place,2013,40000,34125,41333,40250,35694,37292,0,37125,0,34063,2.6,19.0,0.0,8.6,49.1,7.8,2.6,10.3,0.0,Walstonburg,NC
13163,1600000US3704955,region.place,2013,38594,27303,26250,26417,26912,0,0,0,0,26167,0.0,18.7,0.0,50.5,30.8,0.0,0.0,0.0,0.0,Belvoir,NC
13168,1600000US3730280,region.place,2013,29286,19167,40536,18056,18333,28125,0,17750,0,23750,0.0,23.7,8.5,22.0,20.3,3.4,5.1,11.9,5.1,Hayesville,NC
13170,1600000US3765700,region.place,2013,31607,6429,55221,50227,14609,0,0,0,0,14492,0.0,11.1,0.0,9.7,13.9,54.2,11.1,0.0,0.0,Sunbury,NC
13171,1600000US3704040,region.place,2013,58269,50333,0,0,6667,10750,0,0,0,51333,0.0,0.0,0.0,0.0,0.0,73.7,26.3,0.0,0.0,Bayview,NC
13172,1600000US3759340,region.place,2013,26806,21719,26161,21833,21793,23750,0,21705,4583,30455,5.9,33.1,0.0,43.2,11.0,5.1,1.7,0.0,0.0,Saratoga,NC
13174,1600000US3729120,region.place,2013,32292,17321,60179,19167,18958,0,0,45000,0,30962,0.0,25.5,1.8,10.9,18.2,34.5,3.6,5.5,0.0,Hamilton,NC
13181,1600000US3766340,region.place,2013,14534,14534,0,0,13186,0,0,13676,0,0,46.8,0.0,11.9,0.0,41.3,0.0,0.0,0.0,0.0,Swan Quarter,NC
13183,1600000US3765020,region.place,2013,0,4250,57607,36953,35430,0,0,0,35664,0,0.0,0.0,0.0,0.0,47.8,52.2,0.0,0.0,0.0,Stokes,NC
13187,1600000US3757580,region.place,2013,0,37684,0,0,23807,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Rodanthe,NC
13190,1600000US3742480,region.place,2013,30000,14063,32115,22500,20833,34375,0,30625,13250,14375,21.1,11.8,0.0,39.5,9.2,0.0,0.0,18.4,0.0,Mesic,NC
13193,1600000US3726520,region.place,2013,0,0,0,16086,16431,0,0,0,0,16436,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Glenville,NC
13194,1600000US3769720,region.place,2013,22125,21313,32250,21900,21639,0,0,21194,16250,26607,13.3,30.7,0.0,33.3,18.7,4.0,0.0,0.0,0.0,Vandemere,NC
13195,1600000US3739540,region.place,2013,0,10511,0,14850,11847,0,0,0,10650,0,53.2,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lowgap,NC
13199,1600000US3741220,region.place,2013,0,6932,71875,23750,19716,0,0,0,0,67750,0.0,0.0,0.0,33.3,0.0,0.0,66.7,0.0,0.0,Marble,NC
13206,1600000US3758940,region.place,2013,0,0,0,0,19766,0,0,0,0,0,0.0,53.3,0.0,0.0,46.7,0.0,0.0,0.0,0.0,Salvo,NC
13207,1600000US3716240,region.place,2013,40417,26458,52500,42917,35938,41042,0,46563,14000,9583,0.0,7.1,0.0,12.5,37.5,26.8,14.3,0.0,1.8,Danbury,NC
13209,1600000US3770580,region.place,2013,0,45975,0,0,45867,0,0,0,0,0,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,Wakulla,NC
13218,1600000US3709380,region.place,2013,0,0,0,0,25536,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Butters,NC
13221,1600000US3736020,region.place,2013,23500,19063,21458,21250,20000,47500,0,18409,23000,26500,20.6,38.1,0.0,11.1,15.9,12.7,0.0,0.0,1.6,Kittrell,NC
13222,1600000US3750080,region.place,2013,23750,17679,33889,28500,20893,29167,52500,13125,38281,19821,8.5,20.3,8.5,40.7,18.6,1.7,1.7,0.0,0.0,Pantego,NC
13225,1600000US3742640,region.place,2013,21875,18594,26875,25568,22375,0,0,23750,20556,23125,0.0,54.3,0.0,18.6,10.0,17.1,0.0,0.0,0.0,Middleburg,NC
13227,1600000US3733940,region.place,2013,0,6458,0,24427,23646,0,0,0,0,34653,0.0,36.9,0.0,27.7,0.0,35.4,0.0,0.0,0.0,Ivanhoe,NC
13230,1600000US3713500,region.place,2013,0,31250,25921,25132,25592,0,0,0,0,0,0.0,19.3,0.0,45.6,24.6,0.0,10.5,0.0,0.0,Coinjock,NC
13233,1600000US3740540,region.place,2013,30833,27083,48693,48352,38750,0,0,48523,0,0,0.0,0.0,0.0,32.4,59.5,0.0,8.1,0.0,0.0,Macon,NC
13234,1600000US3735360,region.place,2013,21167,19375,46111,28125,20750,0,0,21583,5795,38750,7.5,47.5,0.0,5.0,27.5,12.5,0.0,0.0,0.0,Kelford,NC
13237,1600000US3731880,region.place,2013,0,0,0,30658,4605,0,0,0,0,0,0.0,0.0,0.0,75.6,0.0,24.4,0.0,0.0,0.0,Hobucken,NC
13238,1600000US3760940,region.place,2013,56354,56354,0,30735,48036,0,0,0,0,49464,0.0,16.7,0.0,19.0,16.7,28.6,19.0,0.0,0.0,Shannon,NC
13239,1600000US3733460,region.place,2013,0,51250,131250,121944,121667,120278,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,0.0,69.0,Indian Beach,NC
13245,1600000US3754600,region.place,2013,0,15809,0,0,16287,0,0,0,0,0,0.0,72.3,0.0,0.0,14.9,12.8,0.0,0.0,0.0,Raemon,NC
13246,1600000US3714060,region.place,2013,28125,17917,31250,18750,18333,0,0,19583,0,25625,0.0,25.7,0.0,28.6,11.4,20.0,0.0,14.3,0.0,Como,NC
13247,1600000US3737000,region.place,2013,23750,0,27321,23125,8929,24167,0,3750,3750,23750,0.0,20.0,0.0,65.0,10.0,0.0,0.0,5.0,0.0,Lasker,NC
13248,1600000US3766740,region.place,2013,37083,35417,51250,24583,33750,0,0,32143,0,21563,0.0,11.1,0.0,19.4,27.8,41.7,0.0,0.0,0.0,Tar Heel,NC
13250,1600000US3753900,region.place,2013,22344,22188,50625,31042,22917,0,61875,35536,14583,22188,12.3,33.3,0.0,10.5,12.3,24.6,0.0,7.0,0.0,Proctorville,NC
13251,1600000US3728600,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Gulf,NC
13252,1600000US3729720,region.place,2013,43750,27000,54063,52969,43125,0,0,40417,0,56250,0.0,12.0,0.0,24.0,8.0,36.0,4.0,16.0,0.0,Harrellsville,NC
13255,1600000US3725020,region.place,2013,0,0,0,0,41786,41786,0,0,0,0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,30.0,Frisco,NC
13259,1600000US3739680,region.place,2013,32500,21250,41250,41250,36094,0,36500,38750,0,38333,0.0,6.9,13.8,6.9,41.4,13.8,0.0,10.3,6.9,Lumber Bridge,NC
13260,1600000US3722640,region.place,2013,0,0,71875,7206,7353,0,0,0,0,0,15.4,0.0,0.0,15.4,15.4,0.0,53.8,0.0,0.0,Falkland,NC
13262,1600000US3756100,region.place,2013,0,0,0,25962,27308,0,0,0,0,0,0.0,0.0,0.0,31.0,33.3,0.0,0.0,35.7,0.0,Rex,NC
13263,1600000US3707400,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Bowmore,NC
13264,1600000US3710800,region.place,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Cashiers,NC
13265,1600000US3752160,region.place,2013,0,10156,0,0,11563,0,0,0,0,33906,0.0,0.0,0.0,47.1,52.9,0.0,0.0,0.0,0.0,Pinetown,NC
13267,1600000US3711560,region.place,2013,24444,24306,55139,31875,28125,0,0,33750,55694,0,0.0,35.5,0.0,12.9,22.6,29.0,0.0,0.0,0.0,Centerville,NC
13268,1600000US3716860,region.place,2013,0,0,0,0,0,0,0,0,0,0,58.5,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,Delway,NC
13271,1600000US3718300,region.place,2013,0,0,0,0,10368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Dundarrach,NC
13272,1600000US3727320,region.place,2013,0,26875,0,0,0,73750,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Grandfather,NC
13273,1600000US3730040,region.place,2013,0,0,0,0,45833,0,0,0,0,0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,25.0,Hassell,NC
13274,1600000US3736514,region.place,2013,0,0,0,60625,60417,0,0,0,0,0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,Lake Santeetlah,NC
13275,1600000US3763780,region.place,2013,0,0,20625,18125,17500,0,0,0,20625,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spencer Mountain,NC
13277,1600000US3825700,region.place,2013,34157,22545,42266,31213,26691,39429,61206,28189,21505,32179,3.8,16.2,1.7,21.9,23.4,13.8,4.8,6.2,8.2,Fargo,ND
13284,1600000US3886220,region.place,2013,35670,23771,61577,56289,40302,44107,72171,35321,32976,40987,1.5,9.6,0.5,15.9,25.1,12.0,7.0,14.2,14.2,Williston,ND
13285,1600000US3840580,region.place,2013,31751,22314,43803,34379,28078,40255,51875,29360,23902,33020,5.1,13.8,2.4,23.7,23.4,14.0,6.1,7.3,4.2,Jamestown,ND
13297,1600000US3812700,region.place,2013,33343,25169,50489,42361,32580,39271,52500,26786,85109,33821,5.8,12.3,0.9,21.2,25.5,15.4,4.0,10.1,4.8,Casselton,ND
13300,1600000US3847100,region.place,2013,36029,25227,51467,39184,31726,41094,62750,30324,38125,34722,4.5,11.0,0.6,14.8,27.7,21.7,6.4,8.7,4.6,Lisbon,ND
13304,1600000US3858740,region.place,2013,28173,19750,37546,33125,26908,35313,21250,22169,23750,30556,6.2,18.0,1.0,23.7,30.0,10.8,2.5,6.5,1.3,Oakes,ND
